event_type,attack_type,event_date,month,day,year,admin1,location,fatalities,sole_perpatrator_classification,extremist_beliefs_classification,connection_to_organized_extremist_group_classification,issue_type,motive,source,source_scale,major_media,notes
VIOLENCE AGAINST CIVILIANS,VEHICLE,2021-05-24,5,24,2021,TENNESSEE,MARYVILLE,0,YES,YES,NO,COVID,ANTI-GOVERNMENT,WATE6,SUBNATIONAL,NO,"ON 24 MAY 2021, A WOMAN DROVE HER SUV THROUGH A VACCINATION TENT IN MARYVILLE (TENNESSEE) ALLEGEDLY TO PROTEST THE CORONAVIRUS VACCINE. SHE ALMOST HIT HEALTH WORKERS IN THE TENT, BUT NO INJURIES WERE REPORTED. SHE YELLED 'NO VACCINE!' BEFORE LEAVING THE PARKING LOT. POLICE HAVE CHARGED HER WITH SEVEN FELONY COUNTS FOR RECKLESS ENDANGERMENT."
VIOLENCE AGAINST CIVILIANS,SHOOTING,2021-09-23,9,23,2021,IDAHO,POCATELLO,0,YES,YES,NO,COVID,ANTI-GOVERNMENT,NETWORK CONTAGION RESEARCH INSTITUTE; TWITTER,LOCAL PARTNER-NATIONAL,NO,"ON 23 SEPTEMBER 2021, AN UNKNOWN INDIVIDUAL FIRED SHOTS INTO THE OFFICES OF TWO DOCTORS IN POCATELLO (IDAHO). IT IS SUSPECTED THE VICTIMS WERE TARGETED BECAUSE DOCTORS ARE VOCAL PROPONENTS OF VACCINATION AMID THE CORONAVIRUS PANDEMIC. THERE WERE NO INJURIES."
VIOLENCE AGAINST CIVILIANS,OTHER WEAPON,2021-09-29,9,29,2021,MARYLAND,ELLICOTT CITY,3,YES,YES,NO,COVID,ANTI-GOVERNMENT,BALTIMORE SUN,SUBNATIONAL,NO,"ON 29 SEPTEMBER 2021, A MAN STABBED HIS BROTHER AND SISTER-IN-LAW IN ELLICOTT CITY (MARYLAND) ALLEGEDLY BECAUSE THE BROTHER, WHO WORKED AS A PHARMACIST, ADMINISTERED CORONAVIRUS VACCINES. THE STABBER ALLEGEDLY CLAIMED THAT THE PHARMACIST WAS 'KILLING PEOPLE WITH THE COVID SHOT.' BOTH VICTIMS DIED. THE STABBER KILLED HIS MOTHER'S FRIEND BEFOREHAND, ALTHOUGH THE MOTIVE IN THIS INSTANCE IN UNCLEAR."
BATTLES,SHOOTING,2020-08-01,8,1,2020,PENNSYLVANIA,SLATINGTON,0,YES,NO,NO,COVID,ANTI-GOVERNMENT,LEHIGH VALLEY LIVE,SUBNATIONAL,NO,"ON 1 AUGUST 2020, POLICE CLASHED WITH A MAN ARMED WITH AN AK-47 IN SLATINGTON (PENNSYLVANIA) THE DAY AFTER HE REPORTEDLY FIRED AT A CLERK IN A BETHLEHEM CIGAR SHOP WHEN THE CLERK ASKED HIM TO WEAR A MASK. THE PERPETRATOR WAS SHOT TWICE BY POLICE OFFICERS IN THE CLASH AND HAS BEEN CHARGED WITH ATTEMPTED HOMICIDE, AGGRAVATED ASSAULT, AND ROBBERY. ONE OFFICER AND THE MAN BOTH SUFFERED NON-LIFE-THREATENING INJURIES."
BATTLES,SHOOTING,2025-08-08,8,8,2025,GEORGIA,ATLANTA,2,YES,NO,NO,COVID,ANTI-GOVERNMENT,11 ALIVE; 16WAPT; NEW YORK TIMES; WDAM7,SUBNATIONAL-NATIONAL,YES,"ON 8 AUGUST 2025, A MAN ARMED WITH FIVE GUNS, SHOT AT THE CENTER FOR DISEASE CONTROL HEADQUARTERS IN ATLANTA (GEORGIA) IN A TARGETED ATTACK. DURING THE ATTACK, THE PERPETRATOR AND POLICE OFFICERS EXCHANGED GUNFIRE. THE PERPETRATOR SHOT A POLICE OFFICER WHO LATER DIED OF HIS INJURIES IN HOSPITAL, AND A SECOND POLICE OFFICER SUFFERED NON-FATAL INJURIES. THE PERPETRATOR DIED AT THE SCENE FROM A SELF-INFLICTED GUN WOUND. NO CIVILIANS WERE KILLED OR INJURED IN THE ATTACK. SEVERAL EXTERIOR WINDOWS OF THE CDC BUILDING WERE DAMAGED BY THE PERPETRATOR'S GUNFIRE. THE PERPETRATOR BELIEVED THAT HE HAD DEVELOPED DEPRESSION FROM THE CORONAVIRUS VACCINE AND HE BLAMED THE CDC FOR HIS ILLNESS. 2 FATALITIES."
BATTLES,OTHER WEAPON,2020-12-25,12,25,2020,MISSOURI,SAINT LOUIS,0,YES,NO,NO,COVID,ANTI-GOVERNMENT,FOX NEWS,NATIONAL,YES,"ON 25 DECEMBER 2020, A WOMAN HIT A SHERIFF'S DEPUTY WITH THE OFFICER'S BATON IN SAINT LOUIS (MISSOURI) AFTER THE OFFICER ASKED THE WOMAN TO WEAR A MASK AMID THE CORONAVIRUS PANDEMIC. THE OFFICER SUFFERED A CONCUSSION FROM THE ATTACK."
VIOLENCE AGAINST CIVILIANS,OTHER WEAPON,2020-03-14,3,14,2020,TEXAS,MIDLAND,0,YES,NO,NO,COVID,ANTI-ASIAN,NBC NEWS,NATIONAL,YES,"ON 14 MARCH 2020, A MAN ATTACKED A 6-YEAR-OLD CHILD, HIS PARENT, AND A SAM'S CLUB EMPLOYEE WHO TRIED TO INTERVENE, WITH A KNIFE IN A SAM'S CLUB IN MIDLAND (TEXAS), BELIEVING THE CUSTOMERS WERE CHINESE THOUGH THEY WERE IN FACT BURMESE. THE MAN YELLED 'GET OUT OF AMERICA!' AS HE ATTACKED THEM. A TEXAS ASSISTANT ATTORNEY LATER STATED THAT THE MAN ATTACKED THE CUSTOMERS BECAUSE OF THEIR RACE AND BECAUSE HE BLAMED THEM FOR THE CORONAVIRUS PANDEMIC. THE MAN LATER PLED GUILTY TO THREE FEDERAL HATE CRIMES."
RIOTS,ASSAULT,2020-03-03,3,3,2020,PENNSYLVANIA,PHILADELPHIA,0,NO,NO,NO,COVID,ANTI-ASIAN,PHILLYVOICE,SUBNATIONAL,NO,"AROUND 3 MARCH 2020 (AS REPORTED), AN UNIDENTIFIED GROUP OF JUVENILES ASSAULTED AN ASIAN COUPLE IN A SUBWAY STATION IN PHILADELPHIA (PENNSYLVANIA) IN A RACIALLY MOTIVATED CRIME AMID THE CORONAVIRUS PANDEMIC. VIDEO OF THE INCIDENT SHOWS THAT THE COUPLE WAS ON THE GROUND AND DEFENSELESS WHEN ATTACKED. POLICE ENCOURAGED VICTIMS OR ANY WITNESS PRESENT IN THE INCIDENT TO PRESENT A REPORT."
RIOTS,ASSAULT,2020-03-28,3,28,2020,NEW YORK,NEW YORK - BRONX,0,NO,NO,NO,COVID,ANTI-ASIAN,CBS2 (NEW YORK),SUBNATIONAL,NO,"ON 28 MARCH 2020, THREE 15 YEARS OLD GIRLS WERE CHARGED WITH HATE CRIME ASSAULTS, MENACING, AND HARASSMENT FOR ATTACKING A 51-YEAR-OLD ASIAN WOMAN IN NEW YORK - BRONX (NEW YORK) AND YELLING ANTI-ASIAN COMMENTS DURING THE CORONAVIRUS PANDEMIC."
RIOTS,ASSAULT,2020-11-28,11,28,2020,MARYLAND,GLEN BURNIE,0,NO,NO,NO,COVID,ANTI-GOVERNMENT,FOX45 (BALTIMORE),SUBNATIONAL,NO,"ON 28 NOVEMBER 2020, EIGHT MEN ATTACKED A BOWLING-ALLEY MANAGER IN GLEN BURNIE (MARYLAND) AFTER THEY WERE ASKED TO WEAR MASKS DUE TO THE CORONAVIRUS PANDEMIC. THE MANAGER WAS KNOCKED DOWN TO THE GROUND AND PUNCHED AND KICKED BY SUSPECTS. THE MANAGER WAS TAKEN TO THE HOSPITAL WITH MINOR INJURIES."
