event_type,sub_event_type,month,day,event_date,year,actor1,assoc_actor_1,actor2,assoc_actor_2,city,state,fatalities,source,source_scale,major_media,notes,tags
RIOTS,VIOLENT DEMONSTRATION,8,20,2025-08-20,2025,RIOTERS (UNITED STATES),,POLICE FORCES OF THE UNITED STATES (2025-) IMMIGRATION AND CUSTOMS ENFORCEMENT,,SAN FRANCISCO,CALIFORNIA,0,MISSION LOCAL,SUBNATIONAL,NO,"ON 20 AUGUST 2025, A CROWD RALLIED OUTSIDE THE IMMIGRATION COURT IN SAN FRANCISCO (CALIFORNIA) ATTEMPTING TO PHYSICALLY OBSTRUCT ICE FROM TRANSPORTING AN ASYLUM-SEEKER WHOM AGENTS HAD ARRESTED THAT MORNING. ICE AGENTS TACKLED SEVERAL DEMONSTRATORS TO THE GROUND WHILE POLICE CLAIM ONE DEMONSTRATOR SLASHED THE FRONT LEFT TIRE OF AN ICE VAN WITH A KNIFE AND THREATENED AN AGENT. ICE AGENTS, ONLY ALLOWED TO MAKE ARRESTS IF THEY WITNESS A FEDERAL FELONY OFFENSE IN FRONT OF THEM, DETAINED THE DEMONSTRATOR AT THEIR OFFICE FOR THE DAY AND TURNED HER OVER TO LOCAL POLICE THAT NIGHT. THE DEMONSTRATOR IS BEING CHARGED WITH DESTRUCTION OF PROPERTY AND ASSAULTING, RESISTING, OR IMPEDING A FEDERAL OFFICER.",CROWD SIZE=NO REPORT
STRATEGIC DEVELOPMENTS,LOOTING/PROPERTY DESTRUCTION,8,18,2025-08-18,2025,SOLE PERPETRATOR (UNITED STATES),WHITE NATIONALISTS (UNITED STATES),CIVILIANS (UNITED STATES),JEWISH GROUP (UNITED STATES),SAN JOSE,CALIFORNIA,0,ABC7 (SAN FRANCISCO); ANTI-DEFAMATION LEAGUE,SUBNATIONAL-NATIONAL,NO,"PROPERTY DESTRUCTION: ON 18 AUGUST 2025, THREE INDIVIDUALS BROKE THE WINDOWS, SIDE MIRRORS, AND SPRAY-PAINTED SWASTIKAS AND 'KKK' ON THE CAR DOORS OF A JEWISH-OWNED BUSINESS IN SAN JOSE (CALIFORNIA). POLICE ARE INVESTIGATING THE INCIDENT AS A HATE CRIME.",
RIOTS,VIOLENT DEMONSTRATION,8,3,2025-08-03,2025,RIOTERS (UNITED STATES),DEM: DEMOCRATIC PARTY; DSA: DEMOCRATIC SOCIALISTS OF AMERICA; FORMER GOVERNMENT OF THE UNITED STATES (2025-); GOVERNMENT OF THE UNITED STATES (2025-); GPUS: GREEN PARTY OF THE UNITED STATES; JEWISH GROUP (UNITED STATES); JVP: JEWISH VOICE FOR PEACE; LABOR GROUP (UNITED STATES); UAW: UNITED AUTOMOBILE WORKERS,POLICE FORCES OF THE UNITED STATES (2025-),,NEW YORK - BROOKLYN,NEW YORK,0,ANTI-DEFAMATION LEAGUE; BROOKLYN PAPER,SUBNATIONAL-NATIONAL,NO,"ON 3 AUGUST 2025, PRO-PALESTINIAN DEMONSTRATORS HELD A 'FAMILIES STAND UP FOR GAZA' RALLY AT GRAND ARMY PLAZA IN NEW YORK - BROOKLYN (NEW YORK) IN SOLIDARITY WITH PALESTINE, TO CALL FOR AN IMMEDIATE OPENING OF HUMANITARIAN CORRIDORS, A U.S. ARMS EMBARGO ON ISRAEL, AND AN END TO AMERICAN MILITARY AID TO ISRAEL. STATE SEN. JABARI BRISPORT (D), FORMER U.S. REP. JAMAAL BOWMAN, AND THE GREEN PARTY OF NEW YORK SPOKE AT THE RALLY. POLICE ARRESTED A DOZEN DEMONSTRATORS, INCLUDING STATE ASSEMBLY MEMBER MARCELA MITAYNES (D), FOR BLOCKING TRAFFIC WITH BANNERS. A JEWISH MAN CLAIMED THAT DEMONSTRATORS APPROACHED HIS CAR AND SLASHED HIS TIRES, AND THAT THE NYPD MADE AN ARREST RELATED TO THE INCIDENT. THE RALLY WAS ORGANIZED BY JEWISH VOICE FOR PEACE, UAW REGION 9A, THE NEW YORK CITY DEMOCRATIC SOCIALISTS OF AMERICA, AND BROOKLYN FAMILIES FOR PALESTINE.",CROWD SIZE=HUNDREDS
RIOTS,VIOLENT DEMONSTRATION,8,2,2025-08-02,2025,RIOTERS (UNITED STATES),BLOOD TRIBE,CIVILIANS (UNITED STATES),,CONCORD,NEW HAMPSHIRE,0,BOSTON GLOBE; CBS13 (MAINE); KEENE SENTINEL; NBC10 BOSTON; NEW HAMPSHIRE PUBLIC RADIO; WCAX CHANNEL 3; WMUR ABC9,SUBNATIONAL-NATIONAL,NO,"ON 2 AUGUST 2025, ABOUT 20 MEMBERS OF BLOOD TRIBE AND SUPPORTERS MARCHED AT THE STATE HOUSE LAWN IN CONCORD (NEW HAMPSHIRE) TO SUPPORT WHITE SUPREMACIST IDEOLOGY. DEMONSTRATORS CHANTED ANTI-MIGRANT AND WHITE SUPREMACIST SLOGANS, AND ALSO HELD A SIGN READING 'TRUMP LOVES EPSTEIN.' A BYSTANDER APPROACHED THE MARCHERS AND SPOKE TO THEM, WHICH RESULTED IN A CLASH WITH RIOTERS, WHO PEPPER SPRAYED AND PUNCHED HIM. THE MAN WAS TAKEN TO THE HOSPITAL FOR INJURIES, AND NO ARRESTS WERE MADE. ELSEWHERE IN CONCORD ON THE SAME DAY, DEMONSTRATORS ALSO GATHERED TO HOLD A 'RISE AGAINST THE REGIME' RALLY, A NATIONWIDE PROTEST (CODED SEPARATELY).",CROWD SIZE=ABOUT 20
VIOLENCE AGAINST CIVILIANS,ATTACK,7,28,2025-07-28,2025,SOLE PERPETRATOR (UNITED STATES),,CIVILIANS (UNITED STATES),,NEW YORK - MANHATTAN,NEW YORK,5,ABC NEWS; ABC7 (NEW YORK); AM NEW YORK; AP; BOSTON GLOBE; CBS NEWS; FOX NEWS; FOX61; INDYPENDENT; JOURNAL NEWS; NEW YORK POST; NEW YORK TIMES; NEWS12 (LONG ISLAND); NEWSWEEK; SPECTRUM NEWS NY1; WASHINGTON POST,SUBNATIONAL-NATIONAL,YES,"ON 28 JULY 2025, A 27-YEAR-OLD MAN IN BODY ARMOR ARMED WITH AN M4 RIFLE ENTERED THE BLACKSTONE OFFICE BUILDING AND SHOT MULTIPLE PEOPLE AT 345 PARK AVE. IN NEW YORK - MANHATTAN (NEW YORK). THE MAN FATALLY SHOT A SECURITY GUARD IN THE LOBBY AND OPENED FIRE ON OTHERS, KILLING TWO PEOPLE AND INJURING OTHERS, THEN TOOK AN ELEVATOR TO THE 33RD FLOOR, WHERE HE SHOT ANOTHER PERSON. IN TOTAL, THE MAN KILLED FOUR PEOPLE AND CRITICALLY INJURED ONE. THE PERPETRATOR THEN BARRICADED AND FATALLY SHOT HIMSELF. THE PERPETRATOR SUFFERED FROM CTE, AN ILLNESS OFTEN SUSTAINED AFTER PLAYING FOOTBALL, AND APPEARS TO HAVE BEEN TARGETING THE NATIONAL FOOTBALL LEAGUE OFFICE LOCATED IN THE SAME BUILDING, BUT USED THE WRONG ELEVATOR TO REACH IT. ACCORDING TO THE WASHINGTON POST, THE PERPETRATOR BLAMED THE NFL FOR HIS TRAUMATIC BRAIN INJURY. 5 FATALITIES.",
RIOTS,VIOLENT DEMONSTRATION,7,24,2025-07-24,2025,RIOTERS (UNITED STATES),,POLICE FORCES OF THE UNITED STATES (2025-),,LOS ANGELES - CENTRAL,CALIFORNIA,0,AUDACY,NATIONAL,NO,"ON 24 JULY 2025, A LARGE GROUP OF DEMONSTRATORS RALLIED OUTSIDE THE FEDERAL METROPOLITAN DETENTION CENTER ON ALAMEDA STREET IN LOS ANGELES - CENTRAL (CALIFORNIA) TO DEMAND AN END TO ICE RAIDS AFTER UNCONFIRMED REPORTS OF LOCAL RAIDS. POLICE ARRIVED TO ASSIST UNIDENTIFIED FEDERAL AGENTS WHO STATED DEMONSTRATORS WERE 'TRESPASSING, OBSTRUCTING, AND BECOMING VIOLENT.' DEMONSTRATORS FOUGHT WITH LOCAL POLICE, WITH AT LEAST ONE PERSON INJURED AND FOUR PEOPLE ARRESTED. ONE INDIVIDUAL WAS ARRESTED ON SUSPICION OF ASSAULT WITH A DEADLY WEAPON FOR SWINGING A 6-FOOT ROPE WITH METAL BOLTS ON THE END OF IT AT OFFICERS. TWO WERE ARRESTED ON SUSPICION OF RESISTING OR OBSTRUCTING OFFICERS AND ONE ON SUSPICION OF BATTERY FOR SPITTING ON OR AT OFFICERS. ONE DEMONSTRATOR WAS INJURED AFTER HITTING THEIR HEAD WHEN POLICE SLAMMED THEM TO THE GROUND, AFTER WHICH SIX OFFICERS WERE SEEN ON TOP OF THE DEMONSTRATOR, INCLUDING ONE OFFICER WITH THEIR KNEE ON THE DEMONSTRATOR'S NECK.",CROWD SIZE=LARGE
STRATEGIC DEVELOPMENTS,LOOTING/PROPERTY DESTRUCTION,7,22,2025-07-22,2025,SOLE PERPETRATOR (UNITED STATES),GOVERNMENT OF THE UNITED STATES (2025-),CIVILIANS (UNITED STATES),LGBTQ+ (UNITED STATES),APOLACON TOWNSHIP,PENNSYLVANIA,0,WBRE,SUBNATIONAL,NO,"PROPERTY DESTRUCTION: AROUND 22 JULY 2025 (AS REPORTED), A BOROUGH COUNCIL MEMBER BROKE LOCKS AND WINDOWS, AND A CHIMNEY PIPE OF A HUNTING CABIN IN APOLACON TOWNSHIP (PENNSYLVANIA) AND ALSO SPRAYPAINTED HOMOPHOBIC MESSAGES ON A RAINBOW THE BUILDING.",
PROTESTS,EXCESSIVE FORCE AGAINST PROTESTERS,7,17,2025-07-17,2025,PROTESTERS (UNITED STATES),CIVILIANS (UNITED STATES); DSA: DEMOCRATIC SOCIALISTS OF AMERICA; JOURNALISTS (UNITED STATES); POOR PEOPLE'S CAMPAIGN; SURJ: SHOWING UP FOR RACIAL JUSTICE,POLICE FORCES OF THE UNITED STATES (2025-),,COVINGTON,KENTUCKY,0,CINCINNATI ENQUIRER; IT'S GOING DOWN; LINK NKY; TELEGRAM,OTHER-NEW MEDIA,NO,"ON 17 JULY 2025, ABOUT 100 DEMONSTRATORS MARCHED ACROSS THE ROEBLING BRIDGE FROM CINCINNATI, OHIO TO COVINGTON (KENTUCKY) TO PROTEST AGAINST RECENT IMMIGRATION POLICIES AND TO DEMONSTRATE THEIR SUPPORT FOR A FORMER CINCINNATI CHILDREN'S CHAPLAIN WHO LOST HIS ASYLUM STATUS AND WAS DETAINED BY ICE. DEMONSTRATORS ALSO RALLIED IN SUPPORT OF PALESTINE. THE DEMONSTRATION WAS ORGANIZED BY THE DEMOCRATIC SOCIALISTS OF AMERICA, IGNITE PEACE, OHIO POOR PEOPLE'S CAMPAIGN, AND SHOWING UP FOR RACIAL JUSTICE CINCINNATI. THE DEMONSTRATION WAS PEACEFUL BUT EVENTUALLY BEGAN TO BLOCK TRAFFIC. BETWEEN 40 -50 COVINGTON POLICE OFFICERS ARRIVED AT THE SCENE AND ORDERED THE DEMONSTRATORS TO DISPERSE. AFTER WAITING ROUGHLY 20 SECONDS, THE OFFICERS BEGAN ARRESTING DEMONSTRATORS. AT THE BEGINNING OF THE ARRESTS, A DEMONSTRATOR ATTEMPTED TO KNOCK A PEPPER SPRAY GUN FROM A POLICE OFFICER'S HAND, WHICH PROMPTED OFFICERS TO ESCALATE. POLICE OFFICERS EMPLOYED 'LESS LETHAL SHOTGUNS,' TASERS, AND K9 FORCES, HELD ON DEMONSTRATORS AT GUNPOINT, AND PUNCHED DEMONSTRATORS IN THE HEAD AND TORSO. FIFTEEN DEMONSTRATORS WERE ARRESTED, TWO OF WHICH WERE JOURNALISTS. SEVERAL POLICE OFFICERS WERE TREATED FOR MINOR INJURIES, AND MULTIPLE PROTESTERS WERE TAKEN TO THE HOSPITAL FOR NON-LIFE THREATENING INJURIES. ONE POLICE OFFICER WAS PLACED ON ADMINISTRATIVE LEAVE FOR HIS CONDUCT DURING THE DEMONSTRATION WHEN HE PUNCHED A DEMONSTRATION IN THE FACE AND HEAD.",CROWD SIZE=ABOUT 100
RIOTS,VIOLENT DEMONSTRATION,7,10,2025-07-10,2025,RIOTERS (UNITED STATES),FARMERS (UNITED STATES); MIGRANTS (INTERNATIONAL); UFW: UNITED FARM WORKERS OF AMERICA,POLICE FORCES OF THE UNITED STATES (2025-) IMMIGRATION AND CUSTOMS ENFORCEMENT,MILITARY FORCES OF THE UNITED STATES (2025-) NATIONAL GUARD; POLICE FORCES OF THE UNITED STATES (2025-) MARSHALS SERVICE,CAMARILLO,CALIFORNIA,1,ABC10 (SACRAMENTO); ABC7 (LOS ANGELES); EDHAT; INSTAGRAM; IT'S GOING DOWN; KTLA5; OJAI VALLEY NEWS; SF GATE; TWITTER,OTHER-NEW MEDIA,NO,"ON 10 JULY 2025, MORE THAN 500 FARMWORKERS ORGANIZED BY UFW AND SUPPORTERS RALLIED OUTSIDE GLASS HOUSE FARMS AT THE INTERSECTION OF LAGUNA AND LAS POSAS ROADS IN CAMARILLO (CALIFORNIA) TO DENOUNCE AN ONGOING IMMIGRATION RAID BY ICE AGENTS, THE NATIONAL GUARD, AND U.S. MARSHALS AT A CANNABIS FARM. AGENTS FIRED RUBBER BULLETS, STUN GRENADES, AND SMOKE CANISTERS AT DEMONSTRATORS WHILE DEMONSTRATORS THREW ROCKS AND BOTTLES AND OBSTRUCTED LAW ENFORCEMENT BY TRYING TO BLOCK VEHICLES. ONE DEMONSTRATOR FIRED A PISTOL AT THE AGENTS, BUT NO INJURIES FROM THIS INCIDENT WERE IMMEDIATELY REPORTED. DURING THE RAID, ONE FARMWORKER FELL WHILE TRYING TO ESCAPE AND DIED FROM THEIR INJURIES. THERE WAS ANOTHER RAID AND DEMONSTRATION AT A GLASS HOUSE FARM IN CARPINTERIA (CODED SEPARATELY), AND BETWEEN THE TWO EVENTS AT LEAST 12 PEOPLE WERE INJURED, FOUR U.S. CITIZENS WERE ARRESTED FOR 'ASSAULTING OR RESISTING OFFICERS,' AND ABOUT 200 MIGRANTS WERE DETAINED.",ARMED; CROWD SIZE=MORE THAN 500
PROTESTS,EXCESSIVE FORCE AGAINST PROTESTERS,7,8,2025-07-08,2025,PROTESTERS (UNITED STATES),,POLICE FORCES OF THE UNITED STATES (2025-) IMMIGRATION AND CUSTOMS ENFORCEMENT,,SAN FRANCISCO,CALIFORNIA,0,BLUESKY; IT'S GOING DOWN; LEFT COAST RIGHT WATCH; MISSION LOCAL; TWITTER,OTHER-NEW MEDIA,NO,"ON 8 JULY 2025, AROUND 20 DEMONSTRATORS GATHERED OUTSIDE THE IMMIGRATION COURTHOUSE AT 100 MONTGOMERY STREET IN SAN FRANCISCO (CALIFORNIA) TO TRY TO STOP ICE AGENTS FROM DETAINING A MIGRANT. DURING THIS EVENT, DEMONSTRATORS OBSTRUCTED LAW ENFORCEMENT. IN A CHAOTIC SCENE, MASKED ICE AGENTS AND DEMONSTRATORS PUSHED AGAINST EACH OTHER, THOUGH DEMONSTRATORS DID NOT APPEAR TO ENGAGE IN VIOLENCE BEYOND PUSHING AND BLOCKING OFFICERS. AROUND 10 MASKED ICE AGENTS USED PEPPER SPRAY, SHOVED PEOPLE TO THE GROUND, BRANDISHED A RIFLE, AND RAMMED THROUGH HALF A DOZEN DEMONSTRATORS WHO WERE INTENTIONALLY BLOCKING AN SUV TO ESCAPE THE SCENE WITH THE MIGRANT DETAINEE. AT LEAST ONE DEMONSTRATOR WAS CARRIED DOZENS OF METERS ON THE ROOF OF THE VEHICLE BEFORE THEY FELL OFF. AN AGENT TRIED TO ARREST TWO DEMONSTRATORS BUT THE CROWD PUSHED THE AGENT AWAY AND FREED THEM.",CAR RAMMING; CROWD SIZE=AROUND 20
